# Floyd-Warshall - Distances entre toutes les paires de stations
# Matrice 19 x 19 (stations 0 à 18)
# Valeur = distance minimale en minutes (inf = pas de chemin)

# Matrice des distances (ligne = source, colonne = cible)
# 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
0	0	3	5	9	12	14	17	13	10	12	15	18	21	18	17	13	16	18	21
1	3	0	2	6	9	11	14	10	7	9	12	15	18	15	14	10	13	15	18
2	5	2	0	4	7	9	12	8	5	7	10	13	16	13	12	8	11	13	16
3	9	6	4	0	3	5	8	4	1	3	6	9	12	9	8	4	7	9	12
4	12	9	7	3	0	2	5	7	4	6	3	6	9	6	5	1	4	6	9
5	14	11	9	5	2	0	3	9	6	5	1	4	7	4	6	3	6	8	11
6	17	14	12	8	5	3	0	12	9	8	4	7	4	1	3	6	9	11	14
7	13	10	8	4	7	9	12	0	3	5	9	12	16	13	12	8	11	13	16
8	10	7	5	1	4	6	9	3	0	2	6	9	13	10	9	5	8	10	13
9	12	9	7	3	6	5	8	5	2	0	4	7	12	9	11	7	10	12	15
10	15	12	10	6	3	1	4	9	6	4	0	3	8	5	7	4	7	9	12
11	18	15	13	9	6	4	7	12	9	7	3	0	11	8	10	7	10	12	15
12	21	18	16	12	9	7	4	16	13	12	8	11	0	3	5	9	12	14	17
13	18	15	13	9	6	4	1	13	10	9	5	8	3	0	2	6	9	11	14
14	17	14	12	8	5	6	3	12	9	11	7	10	5	2	0	4	7	9	12
15	13	10	8	4	1	3	6	8	5	7	4	7	9	6	4	0	3	5	8
16	16	13	11	7	4	6	9	11	8	10	7	10	12	9	7	3	0	2	5
17	18	15	13	9	6	8	11	13	10	12	9	12	14	11	9	5	2	0	3
18	21	18	16	12	9	11	14	16	13	15	12	15	17	14	12	8	5	3	0

# Analyse - Station la plus centrale
# - Par somme des distances (minimiser la somme vers toutes les autres) : Station 4 (somme = 104 min)
# - Par excentricité (minimiser la distance max vers une autre) : Station 3 (excentricité = 12 min)
